Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,County, Agency Name,Street,City, State,Zip,Agency Phone,Agency Contact,  Street ,City,State,Zip,"Minimum 
Age Served","Maximum 
Age Served",     Star Rating, Provider Type,Capacity,   Open Time,   Close Time,"Certificate 
Program
 Participant"," Offers
 Scholarships","   Offers 
   Sliding 
       Scale Fee     ","Offers 
Multi- Child Discount",Approved For Transportation,"Charges 
Fee for 
Transportation","Regulatory
Agency"," Regulatory 
Status", License Approval Date,Date Open,Near Public Transportation," Wheel 
Chair
 Accessible",  No Smoking ,  No Dogs ,  No Cats ,No Pets ,"   Child and  Adult
  Care Food 
      Program      Participant","   Program 
   Evaluator","Program
Evaluator
Phone Number"
,ANDERSON,La Petite Academy ,112 Tulsa Road,Oak Ridge,TN,37830,(865) 483-8324  ,Anita Armes,112 Tulsa Road,Oak Ridge,TN,37830,6WK,12YR,2,Center,106,06:00 AM,06:00 PM,Y,N,N,Y,Y,N,DHS Licensing,Licensed,5/1/2021,5/1/1988,N,Y,Y,Y,Y,Y,Y,DAVID CAPPS,(865) 594-9138
,ANDERSON,"Small Wonders Nursery School, Inc.",98 Mariner Point Drive,Clinton,TN,37716,(865) 457-5815  ,Rhonda Lane,98 Mariner Point Drive,Clinton,TN,37716,6WK,12YR,2,Center,99,06:00 AM,06:00 PM,Y,N,N,Y,Y,N,DHS Licensing,Licensed,5/1/2021,5/1/2012,N,Y,Y,Y,Y,Y,N,DAVID CAPPS,(865) 594-9138
,ANDERSON,Blossom Center for Childhood Excellence,280 Royce Circle ,Oak Ridge,TN,37830,(865) 294-4133  ,,280 Royce Circle ,Oak Ridge,TN,37830,12MO,12YR,2,Center,85,05:00 AM,12:59 PM,Y,N,Y,Y,N,N,DHS Licensing,Licensed,12/1/2020,8/16/2017,N,Y,Y,Y,Y,Y,Y,DAVID CAPPS,(865) 594-9138
,ANDERSON,Boys & Girls Club-North Anderson,402 Lindsey Street,Lake City,TN,37769,(865) 232-1175  ,Michael Swisher,967 Irwin St,Knoxville,TN,37917,5YR,17YR,3,Center,150,02:45 PM,06:30 PM,Y,Y,N,N,Y,N,Department Of Education,Approved,10/1/2021,2/27/2009,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,First Steps Child Development Center,1350 Oak Ridge Turnpike,Oak Ridge,TN,37830,(865) 483-6291  ,Elizabeth Bonner,1350 Oak Ridge Turnpike,Oak Ridge,TN,37830,6WK,5YR,3,Center,70,07:30 AM,06:00 PM,Y,N,N,N,N,N,DHS Licensing,Licensed,12/1/2020,12/1/1966,N,Y,Y,Y,Y,Y,N,DAVID CAPPS,(865) 594-9138
,ANDERSON,Weekday Early Education Wee Ministry,225 North Main Street,Clinton,TN,37716,(865) 457-6685  ,TAMMY BRADEN,PO Box 268,Clinton,TN,37717,16MO,12YR,2,Center,128,07:00 AM,05:30 PM,N,Y,N,Y,Y,N,DHS Licensing,Licensed,11/1/2020,1/1/1985,N,Y,Y,Y,Y,Y,N,DAVID CAPPS,(865) 594-9138
,ANDERSON,Boys and Girls Clubs Lawernce A. Hahn ,102 South Jefferson Circle,Oak Ridge,TN,37830,(865) 789-8178  ,DEAN DEATHERAGE,102 South Jefferson Circle,Oak Ridge,TN,37830,,,,Exempt,250,,,Y,N,N,N,N,N,DHS Licensing,Exempt,6/10/2019,6/10/2021,N,N,N,N,N,N,N,Kimberly Bradbury,(865) 594-9174
,ANDERSON,United Church Nursery School,85 Kentucky Avenue,Oak Ridge,TN,37830,(865) 482-2221  ,Shona  Ellis,85 Kentucky Avenue,Oak Ridge,TN,37830,16MO,6YR,3,Center,75,09:00 AM,02:55 PM,Y,Y,N,N,N,N,DHS Licensing,Licensed,6/1/2021,5/1/1980,N,N,Y,Y,Y,Y,N,DAVID CAPPS,(865) 594-9138
,ANDERSON,ST. MARY'S PRESCHOOL,323 VERMONT AVENUE,OAK RIDGE,TN,37830,(865) 483-9700  ,Kendall Doogan,323 VERMONT AVENUE,OAK RIDGE,TN,37830,3YR,5YR,,Center,38,07:30 AM,03:15 PM,N,Y,N,N,N,N,Department Of Education,Approved,10/1/2021,12/16/1996,N,Y,Y,N,N,N,N,Adrienne Butler,(931) 239-6819
,ANDERSON,ST. MARY'S SCHOOL - ESP,323 VERMONT AVENUE,OAK RIDGE,TN,37830,(865) 766-8567  ,Kendall Doogan,323 VERMONT AVENUE,OAK RIDGE,TN,37830,4YR,13YR,,Center,30,03:00 PM,06:00 PM,N,N,N,Y,N,N,Department Of Education,Approved,10/1/2021,3/10/1999,N,Y,Y,Y,Y,Y,N,Adrienne Butler,(931) 239-6819
,ANDERSON,"Emory Valley Early Learning Center, Inc ",718 Emory Valley Road ,Oak Ridge ,TN,37830,(865) 294-7202  100,Therese Peek,723 Emory Valley Road ,Oak Ridge ,TN,37830,6WK,6YR,3,Center,98,07:00 AM,05:00 PM,Y,Y,N,Y,N,N,DHS Licensing,Licensed,1/1/2021,1/1/2020,Y,Y,Y,Y,Y,N,Y,DAVID CAPPS,(865) 594-9138
,ANDERSON,Early Learning Tree LLC,114 Raccoon Valley Road,Powell,TN,37849,(865) 945-5437  ,Jennifer Parker,114 Raccoon Valley Road,Powell,TN,37849,6WK,12YR,3,Center,99,06:30 AM,06:00 PM,Y,N,N,N,Y,N,DHS Licensing,Licensed,12/1/2020,8/18/2003,N,Y,Y,Y,Y,N,Y,DAVID CAPPS,(865) 594-9138
,ANDERSON,Kiddie Kare Day Care Center,305 6th Street,Lake City ,TN,37769,(865) 426-7070  , Lea Ann  Phillips,P.O. Box 246,Lake City ,TN,37769,8WK,13YR,1,Center,37,06:30 AM,05:30 PM,Y,N,N,Y,N,N,DHS Licensing,Licensed,9/1/2021,6/1/1993,N,Y,Y,Y,Y,Y,N,DAVID CAPPS,(865) 594-9138
,ANDERSON,"Brookside Learning Center, LLC",218 Jefferson Avenue,Oak Ridge,TN,37830,(865) 482-4896  ,Jay Brandon,218 Jefferson Avenue,Oak Ridge,TN,37830,6WK,10YR,3,Center,55,07:00 AM,06:00 PM,Y,N,N,Y,N,N,DHS Licensing,Licensed,8/1/2021,3/15/1997,Y,Y,Y,Y,Y,Y,Y,DAVID CAPPS,(865) 594-9138
,ANDERSON,Heritage Preschool,121 North Illinois Avenue,Oak Ridge,TN,37830,(865) 483-1976  ,,121 North Illinois Avenue,Oak Ridge,TN,37830,6WK,6YR,3,Center,99,06:00 AM,06:00 PM,Y,N,N,Y,N,N,DHS Licensing,Licensed,12/1/2020,9/1/1995,Y,Y,Y,N,N,Y,Y,DAVID CAPPS,(865) 594-9138
,ANDERSON,N. Clinton Elem. Pre-K,305 Beets Street,Clinton,TN,37716,(865) 457-2784  ,Lori Collins,Kelly Johnson,Clinton,TN,37716,4YR,5YR,,Center,40,07:30 AM,01:30 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,8/1/2013,N,N,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,FAIRVIEW ELEM AFTERSCHOOL,6715 HICKORY VALLEY ROAD,HEISKELL,TN,37754,(865) 494-7959  ,Tammy Overton,708 N MAIN ST,CLINTON,TN,37716,4YR,12YR,,Center,35,02:00 PM,06:00 PM,Y,N,N,Y,N,N,Department Of Education,Approved,10/1/2021,12/11/1997,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,ANDERSONVILLE ELEM AFTERSCHOOL,1951 MOUNTAIN ROAD,ANDERSONVILLE,TN,37705,(865) 463-2833  ,Tammy Overton,708 N. Main Street,CLINTON,TN,37716,4YR,12YR,,Center,40,02:00 PM,06:00 PM,Y,N,N,Y,N,N,Department Of Education,Approved,10/1/2021,11/15/1996,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,NORRIS ELEM AFTERSCHOOL,42 EAST CIRCLE ROAD,NORRIS,TN,37828,(865) 494-7422  ,Tammy Overton,708 N MAIN ST,CLINTON,TN,37716,4YR,12YR,,Center,40,02:00 PM,06:00 PM,Y,N,N,Y,N,N,Department Of Education,Approved,10/1/2021,11/15/1996,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,CLAXTON ELEM AFTERSCHOOL,2218 CLINTON HWY.,POWELL,TN,37849,(865) 494-7695  ,Tammy Overton,708 N MAIN ST,CLINTON,TN,37716,4YR,12YR,,Center,40,02:00 PM,06:00 PM,Y,N,N,Y,N,N,Department Of Education,Approved,10/1/2021,11/15/1996,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,CLINTON EARLY HEAD START & PRE-K,708 NORTH MAIN STREET,CLINTON,TN,37716,(865) 463-2833  ,Anne Ford,708 North Main Street,CLINTON,TN,37716,6WK,2YR,3,Center,110,07:30 AM,01:45 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,1/5/2004,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,CLAXTON HEAD START AND PRE-K,2218 CLINTON HIGHWAY,POWELL,TN,37849,(865) 463-2332  ,Anne Ford,708 N. Main Street,POWELL,TN,37849,3YR,5YR,,Center,60,07:30 AM,01:45 PM,N,N,N,N,Y,N,Department Of Education,Approved,10/1/2021,11/22/2005,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,LAKE CITY ELEM HEAD START AND PRE-K,402 LINDSAY AVENUE,Rocky Top,TN,37769,(865) 426-2108  ,Anne Ford,402 LINDSAY AVENUE,Rocky Top,TN,37769,4YR,5YR,,Center,76,08:00 AM,01:45 PM,N,N,N,N,Y,N,Department Of Education,Approved,10/1/2021,11/23/2005,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
,ANDERSON,Andersonville Elem Pre-K,1951 MOUNTAIN RD,ANDERSONVILLE,TN,37705,(865) 494-7695  ,Anne Ford,708 NORTH MAIN STREET,CLINTON,TN,37716,3YR,5YR,,Center,40,07:45 AM,01:30 PM,N,N,N,N,Y,N,Department Of Education,Approved,10/1/2021,8/7/2006,N,Y,Y,Y,Y,Y,N,Adrienne Butler,(931) 239-6819
,ANDERSON,NORRIS ELEMENTARY PRE-K,42 East Circle Dr.,Norris,TN,37828,(865) 494-7422  ,,42 East Circle Dr.,Norris,TN,37828,3YR,5YR,,Center,20,08:00 AM,03:00 PM,N,N,N,N,N,N,Department Of Education,Approved,10/1/2021,8/1/2013,N,Y,Y,Y,Y,Y,Y,Adrienne Butler,(931) 239-6819
